Time,PinPullerTemp,Spare,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
8190736,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2244E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.6952E+0,53,0,0
8191736,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2244E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.6952E+0,60,0,0
8192736,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.6952E+0,35,0,0
8193736,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.6952E+0,36,0,0
8194736,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.6952E+0,46,0,0
8195736,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.6952E+0,47,0,0
8196432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0449E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,37,0,0
8197432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0548E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,56,0,0
8198432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0548E+0,0.0000E+0,13.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,34,0,0
8199432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2123E+0,2.6514E+0,372.1623E-3,3.6666E+0,1.0548E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,49,0,0
