Time,PinPullerTemp,Spare,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
2904190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,31,0,0
2905190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,40,0,0
2906190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,40,0,0
2907190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,44,0,0
2908190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,41,0,0
2909190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,40,0,0
2910190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,31,0,0
2911190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.1892E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,43,0,0
2912190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4047E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,37,0,0
2913190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,369.9602E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,41,0,0
2914190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3362E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,33,0,0
2915190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0185E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,39,0,0
2916190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0163E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,41,0,0
2917190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0163E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,36,0,0
2918190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0163E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,37,0,0
2919190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0163E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,30,0,0
2920190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0163E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,27,0,0
2921190,-273.0000E+0,-268.4856E+0,19.2245E+0,-273.0000E+0,1.2189E+0,2.4069E+0,372.1623E-3,3.3373E+0,1.0163E+0,0.0000E+0,12.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3594E+0,38,0,0
