,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
0,12.999,False,0.0,6.9e-05,0.0,0.0
1,12.999,True,1.077058,1.112795,1.150804,1.141715
2,13.999,False,0.288579,6.9e-05,0.0,0.0
3,13.999,True,1.077196,1.112726,1.150735,1.141646
4,14.999,False,0.744962,6.9e-05,0.0,0.0
5,14.999,True,1.077058,1.112657,1.15046,1.141439
6,15.999,False,0.846112,6.9e-05,0.0,0.0
7,15.999,True,1.076989,1.112726,1.150597,1.141439
8,16.999,False,1.201551,6.9e-05,0.0,0.0
9,16.999,True,1.076989,1.11252,1.150735,1.141577
10,17.999,False,1.419483,6.9e-05,0.0,0.0
11,17.999,True,1.076989,1.112588,1.150735,1.141439
12,18.999,False,1.715361,6.9e-05,0.0,0.0
13,18.999,True,1.076852,1.112657,1.150528,1.141577
14,19.999,False,1.974469,6.9e-05,0.0,0.0
15,19.999,True,1.076852,1.112657,1.15046,1.141853
16,20.999,False,2.307116,6.9e-05,0.0,0.0
17,20.999,True,1.076852,1.112657,1.150528,1.141646
18,21.999,False,2.538338,6.9e-05,0.0,0.0
19,21.999,True,1.076852,1.112451,1.15046,1.141646
20,22.999,False,2.820719,6.9e-05,0.0,0.0
21,22.999,True,1.076576,1.112382,1.150322,1.141508
22,23.999,False,3.102412,6.9e-05,0.0,0.0
23,23.999,True,1.076714,1.112382,1.150528,1.141508
24,24.999,False,0.0,6.9e-05,0.0,0.0
25,24.999,True,1.076714,1.112451,1.150322,1.141715
26,25.999,False,0.285343,6.9e-05,0.0,0.0
27,25.999,True,1.076576,1.112451,1.150391,1.141508
28,26.999,False,0.745031,6.9e-05,0.0,0.0
29,26.999,True,1.076714,1.112175,1.150184,1.141439
30,27.999,False,0.846112,6.9e-05,0.0,0.0
31,27.999,True,1.076645,1.112244,1.150391,1.141302
32,28.999,False,1.200932,6.9e-05,0.0,0.0
33,28.999,True,1.076576,1.112175,1.150322,1.141302
34,29.999,False,1.419483,6.9e-05,0.0,0.0
35,29.999,True,1.076714,1.112382,1.150184,1.141371
36,30.999,False,1.715361,6.9e-05,0.0,0.0
37,30.999,True,1.076439,1.112106,1.150322,1.141439
38,31.999,False,1.974469,6.9e-05,0.0,0.0
39,31.999,True,1.076439,1.112313,1.150115,1.141233
40,32.999,False,2.307323,6.9e-05,0.0,0.0
41,32.999,True,1.076439,1.112244,1.150391,1.141233
42,33.999,False,2.538338,6.9e-05,0.0,0.0
43,33.999,True,1.07637,1.112106,1.150322,1.141439
44,34.999,False,2.820719,6.9e-05,0.0,0.0
45,34.999,True,1.076507,1.112175,1.150253,1.141095
46,35.999,False,3.102412,6.9e-05,0.0,0.0
47,35.999,True,1.076507,1.112175,1.150115,1.141095
48,36.999,False,0.0,6.9e-05,0.0,0.0
49,36.999,True,1.076576,1.111969,1.150115,1.141302
50,37.999,False,0.285067,6.9e-05,0.0,0.0
51,37.999,True,1.076507,1.112175,1.150322,1.141164
52,38.999,False,0.7451,6.9e-05,0.0,0.0
53,38.999,True,1.07637,1.111969,1.150253,1.141164
54,39.999,False,0.846112,6.9e-05,0.0,0.0
55,39.999,True,1.076439,1.112038,1.150184,1.141095
56,40.999,False,1.201069,6.9e-05,0.0,0.0
57,40.999,True,1.076439,1.1119,1.150322,1.141095
58,41.999,False,1.419483,6.9e-05,0.0,0.0
59,41.999,True,1.076094,1.112106,1.149978,1.141095
60,42.999,False,1.715292,6.9e-05,0.0,0.0
61,42.999,True,1.076301,1.1119,1.150184,1.141164
62,43.999,False,1.974469,6.9e-05,0.0,0.0
63,43.999,True,1.076439,1.112244,1.149771,1.141164
64,44.999,False,2.307323,6.9e-05,0.0,0.0
65,44.999,True,1.076439,1.112038,1.149978,1.140889
66,45.999,False,2.538338,6.9e-05,0.0,0.0
67,45.999,True,1.076507,1.112175,1.149978,1.140889
68,46.999,False,2.820719,6.9e-05,0.0,0.0
69,46.999,True,1.076301,1.112106,1.149702,1.141095
70,47.999,False,3.102412,6.9e-05,0.0,0.0
71,47.999,True,1.076232,1.111969,1.150046,1.141095
72,48.999,False,0.0,6.9e-05,0.0,0.0
73,48.999,True,1.076232,1.111969,1.150115,1.141095
74,49.999,False,0.284998,6.9e-05,0.0,0.0
75,49.999,True,1.076301,1.111969,1.14984,1.141095
76,50.999,False,0.7451,6.9e-05,0.0,0.0
77,50.999,True,1.07637,1.1119,1.149978,1.141026
78,51.999,False,0.846112,6.9e-05,0.0,0.0
79,51.999,True,1.076232,1.111831,1.150046,1.140613
80,52.999,False,1.201827,6.9e-05,0.0,0.0
81,52.999,True,1.076025,1.1119,1.149909,1.14082
82,53.999,False,1.419483,6.9e-05,0.0,0.0
83,53.999,True,1.076232,1.111831,1.149909,1.14082
84,54.999,False,1.715361,6.9e-05,0.0,0.0
85,54.999,True,1.076232,1.1119,1.14984,1.140889
86,55.999,False,1.974469,6.9e-05,0.0,0.0
87,55.999,True,1.076232,1.111762,1.149978,1.140544
88,56.999,False,2.307185,6.9e-05,0.0,0.0
89,56.999,True,1.076301,1.111624,1.149702,1.140475
90,57.999,False,2.538338,6.9e-05,0.0,0.0
91,57.999,True,1.075957,1.111693,1.14984,1.140682
92,58.999,False,2.820719,6.9e-05,0.0,0.0
93,58.999,True,1.076163,1.111969,1.14984,1.14082
94,59.999,False,3.102412,6.9e-05,0.0,0.0
95,59.999,True,1.076163,1.111831,1.149771,1.140957
96,60.999,False,0.0,6.9e-05,0.0,0.0
97,60.999,True,1.076094,1.111831,1.149978,1.140544
98,61.999,False,0.284998,6.9e-05,0.0,0.0
99,61.999,True,1.075957,1.111831,1.149978,1.140957
100,62.999,False,0.745168,6.9e-05,0.0,0.0
101,62.999,True,1.076232,1.111693,1.149978,1.14082
102,63.999,False,0.846112,6.9e-05,0.0,0.0
103,63.999,True,1.076232,1.111624,1.150046,1.141026
104,64.999,False,1.201276,6.9e-05,0.0,0.0
105,64.999,True,1.076025,1.111762,1.149771,1.140544
106,65.999,False,1.419552,6.9e-05,0.0,0.0
107,65.999,True,1.076094,1.111831,1.149771,1.140751
108,66.999,False,1.71543,6.9e-05,0.0,0.0
109,66.999,True,1.076163,1.111487,1.149771,1.140751
110,67.999,False,1.974469,6.9e-05,0.0,0.0
111,67.999,True,1.075888,1.1119,1.149702,1.140682
112,68.999,False,2.307116,6.9e-05,0.0,0.0
113,68.999,True,1.075888,1.111831,1.149496,1.140682
114,69.999,False,2.538338,6.9e-05,0.0,0.0
115,69.999,True,1.075957,1.111831,1.149496,1.14082
116,70.999,False,2.820719,6.9e-05,0.0,0.0
117,70.999,True,1.075888,1.111624,1.14984,1.140613
118,71.999,False,3.102412,6.9e-05,0.0,0.0
119,71.999,True,1.075819,1.111556,1.14984,1.14082
120,72.999,False,0.0,6.9e-05,0.0,0.0
121,72.999,True,1.075957,1.111693,1.149702,1.140751
122,73.999,False,0.284998,6.9e-05,0.0,0.0
123,73.999,True,1.076094,1.111693,1.149771,1.14082
124,74.999,False,0.745168,6.9e-05,0.0,0.0
125,74.999,True,1.075819,1.111762,1.149633,1.140751
126,75.999,False,0.846112,6.9e-05,0.0,0.0
127,75.999,True,1.075957,1.111624,1.149771,1.140751
128,76.999,False,1.200863,6.9e-05,0.0,0.0
129,76.999,True,1.075957,1.111762,1.149564,1.14082
130,77.999,False,1.419483,6.9e-05,0.0,0.0
131,77.999,True,1.075888,1.111693,1.149496,1.140751
132,78.999,False,1.715292,6.9e-05,0.0,0.0
133,78.999,True,1.075957,1.111624,1.149358,1.14082
134,79.999,False,1.974469,6.9e-05,0.0,0.0
135,79.999,True,1.076094,1.111693,1.149358,1.140475
